loc_x,loc_y,level,type
0,0,random,0
0,2,random,0
0,4,random,1
2,0,random,0
2,4,random,1
4,0,random,0
4,2,random,0
4,4,random,1
0,7,random,0
0,9,random,0
0,11,random,1
2,7,random,0
2,11,random,1
4,7,random,0
4,9,random,0
4,11,random,1
0,14,random,0
0,16,random,0
0,18,random,1
2,14,random,0
2,18,random,1
4,14,random,0
4,16,random,0
4,18,random,1
0,21,random,0
0,23,random,0
0,25,random,1
2,21,random,0
2,25,random,1
4,21,random,0
4,23,random,0
4,25,random,1
0,28,random,0
0,30,random,0
0,32,random,1
2,28,random,0
2,32,random,1
4,28,random,0
4,30,random,0
4,32,random,1
7,0,random,0
7,2,random,0
7,4,random,1
9,0,random,0
9,4,random,1
11,0,random,0
11,2,random,0
11,4,random,1
7,7,random,0
7,9,random,0
7,11,random,1
9,7,random,0
9,11,random,1
11,7,random,0
11,9,random,0
11,11,random,1
7,14,random,0
7,16,random,0
7,18,random,1
9,14,random,0
9,18,random,1
11,14,random,0
11,16,random,0
11,18,random,1
7,21,random,0
7,23,random,0
7,25,random,1
9,21,random,0
9,25,random,1
11,21,random,0
11,23,random,0
11,25,random,1
7,28,random,0
7,30,random,0
7,32,random,1
9,28,random,0
9,32,random,1
11,28,random,0
11,30,random,0
11,32,random,1
14,0,random,0
14,2,random,0
14,4,random,1
16,0,random,0
16,4,random,1
18,0,random,0
18,2,random,0
18,4,random,1
14,7,random,0
14,9,random,0
14,11,random,1
16,7,random,0
16,11,random,1
18,7,random,0
18,9,random,0
18,11,random,1
14,14,random,0
14,16,random,0
14,18,random,1
16,14,random,0
16,18,random,1
18,14,random,0
18,16,random,0
18,18,random,1
14,21,random,0
14,23,random,0
14,25,random,1
16,21,random,0
16,25,random,1
18,21,random,0
18,23,random,0
18,25,random,1
14,28,random,0
14,30,random,0
14,32,random,1
16,28,random,0
16,32,random,1
18,28,random,0
18,30,random,0
18,32,random,1
21,0,random,0
21,2,random,0
21,4,random,1
23,0,random,0
23,4,random,1
25,0,random,0
25,2,random,0
25,4,random,1
21,7,random,0
21,9,random,0
21,11,random,1
23,7,random,0
23,11,random,1
25,7,random,0
25,9,random,0
25,11,random,1
21,14,random,0
21,16,random,0
21,18,random,1
23,14,random,0
23,18,random,1
25,14,random,0
25,16,random,0
25,18,random,1
21,21,random,0
21,23,random,0
21,25,random,1
23,21,random,0
23,25,random,1
25,21,random,0
25,23,random,0
25,25,random,1
21,28,random,0
21,30,random,0
21,32,random,1
23,28,random,0
23,32,random,1
25,28,random,0
25,30,random,0
25,32,random,1
28,0,random,0
28,2,random,0
28,4,random,1
30,0,random,0
30,4,random,1
32,0,random,0
32,2,random,0
32,4,random,1
28,7,random,0
28,9,random,0
28,11,random,1
30,7,random,0
30,11,random,1
32,7,random,0
32,9,random,0
32,11,random,1
28,14,random,0
28,16,random,0
28,18,random,1
30,14,random,0
30,18,random,1
32,14,random,0
32,16,random,0
32,18,random,1
28,21,random,0
28,23,random,0
28,25,random,1
30,21,random,0
30,25,random,1
32,21,random,0
32,23,random,0
32,25,random,1
28,28,random,0
28,30,random,0
28,32,random,1
30,28,random,0
30,32,random,1
32,28,random,0
32,30,random,0
32,32,random,1
