loc_x,loc_y,level,type
0,0,2,0
0,2,2,0
0,4,5,1
2,0,3,0
2,4,3,1
4,0,2,0
4,2,3,0
4,4,5,1
0,7,3,0
0,9,2,0
0,11,4,1
2,7,2,0
2,11,3,1
4,7,3,0
4,9,2,0
4,11,4,1
0,14,3,0
0,16,3,0
0,18,3,1
2,14,3,0
2,18,3,1
4,14,1,0
4,16,2,0
4,18,4,1
0,21,2,0
0,23,1,0
0,25,5,1
2,21,1,0
2,25,3,1
4,21,3,0
4,23,3,0
4,25,3,1
0,28,3,0
0,30,3,0
0,32,3,1
2,28,2,0
2,32,5,1
4,28,3,0
4,30,2,0
4,32,3,1
7,0,3,0
7,2,3,0
7,4,3,1
9,0,2,0
9,4,3,1
11,0,2,0
11,2,3,0
11,4,3,1
7,7,2,0
7,9,3,0
7,11,5,1
9,7,2,0
9,11,3,1
11,7,3,0
11,9,3,0
11,11,3,1
7,14,3,0
7,16,2,0
7,18,3,1
9,14,1,0
9,18,3,1
11,14,3,0
11,16,3,0
11,18,5,1
7,21,3,0
7,23,3,0
7,25,3,1
9,21,3,0
9,25,3,1
11,21,1,0
11,23,1,0
11,25,3,1
7,28,2,0
7,30,3,0
7,32,5,1
9,28,1,0
9,32,5,1
11,28,2,0
11,30,3,0
11,32,3,1
14,0,3,0
14,2,1,0
14,4,5,1
16,0,1,0
16,4,3,1
18,0,3,0
18,2,2,0
18,4,5,1
14,7,3,0
14,9,3,0
14,11,1,1
16,7,3,0
16,11,3,1
18,7,1,0
18,9,2,0
18,11,3,1
14,14,2,0
14,16,2,0
14,18,3,1
16,14,3,0
16,18,3,1
18,14,3,0
18,16,2,0
18,18,5,1
14,21,3,0
14,23,3,0
14,25,5,1
16,21,3,0
16,25,5,1
18,21,3,0
18,23,1,0
18,25,3,1
14,28,3,0
14,30,3,0
14,32,5,1
16,28,2,0
16,32,3,1
18,28,2,0
18,30,1,0
18,32,2,1
21,0,3,0
21,2,2,0
21,4,3,1
23,0,3,0
23,4,3,1
25,0,3,0
25,2,2,0
25,4,3,1
21,7,3,0
21,9,3,0
21,11,5,1
23,7,3,0
23,11,3,1
25,7,3,0
25,9,1,0
25,11,5,1
21,14,3,0
21,16,2,0
21,18,3,1
23,14,3,0
23,18,3,1
25,14,3,0
25,16,2,0
25,18,5,1
21,21,2,0
21,23,3,0
21,25,5,1
23,21,1,0
23,25,3,1
25,21,3,0
25,23,3,0
25,25,3,1
21,28,3,0
21,30,3,0
21,32,5,1
23,28,3,0
23,32,5,1
25,28,1,0
25,30,2,0
25,32,3,1
28,0,3,0
28,2,2,0
28,4,3,1
30,0,3,0
30,4,3,1
32,0,3,0
32,2,2,0
32,4,3,1
28,7,3,0
28,9,3,0
28,11,3,1
30,7,3,0
30,11,3,1
32,7,3,0
32,9,3,0
32,11,3,1
28,14,3,0
28,16,2,0
28,18,3,1
30,14,2,0
30,18,3,1
32,14,2,0
32,16,2,0
32,18,5,1
28,21,3,0
28,23,3,0
28,25,5,1
30,21,2,0
30,25,5,1
32,21,3,0
32,23,2,0
32,25,5,1
28,28,2,0
28,30,3,0
28,32,3,1
30,28,1,0
30,32,4,1
32,28,2,0
32,30,3,0
32,32,3,1
